state,district,month,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st
Assam,Charaideo,1,0.0,0.0,0.0,0.0018190104734889811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003628946954644863,0.042978177398503466,0.004379260721714576,0.0,0.0,0.0,0.0,0.0,0.0,0.0028104434323152185,0.0007567638481779403,7.667797096400726e-07,0.0003069996283909327,0.0,0.007193733109193672,0.012614368621172703,0.04691928192125533,0.0,0.0,0.0
Assam,Chirang,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016886426335425034,0.053440710806201504,0.0,0.0,0.0,0.0,0.0,0.0,0.0023255242595924064,0.0006619433969451111,0.00516527853785431,0.0,0.0,0.0,0.0,0.0062478367020212125,0.0,0.0,0.0,0.0
Assam,Darrang,1,0.0,0.0,0.0,1.5531420466943053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791145528095027,0.0323412308218052,0.0009150884435285105,0.0,0.0,0.0,0.0,0.0,0.0,0.021192788851342164,0.008345565359501624,7.600022540290771e-06,4.082534373838721e-06,0.0,0.00087069802366996,0.005367652591554932,0.002505788642778549,6.012316619224874e-06,0.0,0.0
Assam,Dhemaji,1,0.0005668144714300111,0.0,0.0,0.0011083460615317479,0.0011058516660266225,0.0,0.0,0.0,0.0,0.0,0.0,0.016337783558941665,0.041265962351257165,0.0005541606438317089,0.0,0.0,0.0,0.0,0.0,0.0,0.0015328261804093142,0.0003435360176321096,0.0014545147177853143,0.00047546785581568186,0.0011204766340357478,0.016947765762779513,0.019754892935761457,0.04476821508874325,0.0,0.0,0.0
Assam,Dhubri,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016995954773510197,0.0256606583855337,0.0,0.0,0.0,0.0,0.0,0.0,0.0003938699889912198,0.0009652230221308042,0.00046018006941893504,0.0,0.0,0.0,1.9231487338025833e-05,0.0050151210726435864,0.0,0.0,0.0,0.0
Assam,Dibrugarh,1,0.0,0.0,0.0,0.0012940159284311587,3.3224176712034985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0072190854643434015,0.045442529087667605,0.0038485675000881387,0.0,0.0,0.0,0.0,0.0,0.0,0.001967704371201115,0.0003598539653505057,0.00017280513918629554,0.00015303307320698625,0.0002596170407212781,0.01134717181522684,0.018569061436862117,0.044420418121800705,0.0,0.0,0.0
Assam,Dima Hasao,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003923119255563974,0.020380807458822696,0.0011287663417807934,0.00017773698988330576,7.37125905729374e-05,0.0,0.0,0.0,0.0032359302419246567,0.028670736949790773,0.000812006627034402,0.0,0.006203901895206243,0.004524060176804513,0.0001679907593125632,0.03451951170702421,0.01561037889298187,0.0,0.0,0.0
Assam,Goalpara,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013277169484984062,0.045755247708610725,0.0,0.0,0.0,0.0,0.0,0.0,5.2223706468329615e-05,0.0024943761529294616,0.002544713740601081,0.0,0.0003279338535860275,0.0,0.00012270767024410704,0.005613872323394036,0.0007364612735014114,0.0,0.0,0.0
Assam,Golaghat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011592146828856901,0.020580109161366034,0.003035912655805799,0.00016962179449782274,1.4394276364180154e-05,0.0,0.0,0.0,0.0014672824423381573,0.025523341550081357,0.007570562173427391,5.6579203508088895e-05,0.011032998885172798,0.00196316279723721,0.0009179330895758147,0.025344086451871122,0.02785186336889442,0.0,0.0,0.0
Assam,Hailakandi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003358209808602181,0.01393232382174394,0.0,0.0,3.342578279188091e-05,0.0,0.0,0.0,0.0,0.019411713491247262,0.0,0.0,0.001215079895949461,0.0,0.0,0.05157006203722233,0.046360869253217245,0.0,0.0,0.0
Assam,Hojai,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004744922025757944,0.03363627278090676,0.0019182101683616073,7.673309907718636e-06,0.0,0.0,0.0,0.0,0.0059190921783959394,0.019675193583318373,0.008294963004055685,0.0,0.010302043849869935,0.0003691875076890631,0.0012167062969940707,0.029092335401240742,0.011486867913696599,0.008051127654915698,0.0,0.0
Assam,Jorhat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061534613130547885,0.02414958266571669,0.0005221004656946798,4.7270078190094525e-09,1.02349201601839e-06,0.0,0.0,0.0,0.00027667481137394945,0.017971986874969394,0.0072412270508947245,0.0,0.012465403195837978,0.0017866306964973023,0.001138867373135035,0.030757654592755652,0.03778686073769316,0.0,0.0,0.0
Assam,Kamrup,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067508469246272814,0.04080784569109203,0.0011845823971898064,0.0,0.0,0.0,0.0,0.0,0.018302969685578496,0.019271375788345278,0.005489995726912207,0.00047931364814606116,0.0019375399479747305,0.00022112075783405684,0.00016231680134213205,0.01952435461276766,0.0014674030043534422,0.0,0.0,0.0
Assam,Kamrup Metro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017145292242599235,0.04596383425268309,0.0002500642613787511,0.0,0.0,0.0,0.0,0.0,0.009501919823859515,0.05518988306098352,0.002083737527456463,0.00018368543999672143,0.0015564771460423634,2.021617251621294e-05,0.0,0.006154292575545327,0.0021852365689135535,0.0,0.0,0.0
Assam,Karbi Anglong,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008037743535499364,0.038270311396820585,0.005289272356068934,0.0006449418772503774,0.0,0.0,0.0,0.0,0.0012367021990709662,0.030565105484543265,0.008812006627034403,0.0,0.005272025269416573,0.0016356702226752668,0.001836221330023102,0.028165459275565338,0.008671063962110703,0.001311659732866214,0.0,0.0
Assam,Karimganj,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008476035963921726,0.016324395598727205,0.0,0.0,4.3836693103154465e-05,0.0,0.0,0.0,0.0,0.012312497619319698,0.0,0.0,0.0020016202155332587,0.0,0.0,0.054852271362817694,0.03493362196813855,0.0,0.0,0.0
Assam,Kokrajhar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017275475635729499,0.021085036897573368,0.0,0.0,0.0,0.0,0.0,0.0,0.001050103375130897,0.0024592019415468165,0.018305158441597386,0.0,0.0,0.0,0.0,0.001945703422053232,0.0,0.0,0.0,0.0
Assam,Lakhimpur,1,0.00012500297747198888,0.0,0.0,0.00018606589570150555,0.00020767304882123814,0.0,0.0,0.0,0.0,0.0,0.0,0.015199545448048142,0.02413169000235345,0.0011381763870682389,0.0,0.0,0.0,0.0,0.0,4.328685927556856e-05,0.006479422759847855,0.009080836325744229,0.00020974508980256757,0.00222943143812709,0.000239801226735092,0.010855710656893818,0.006927572543526115,0.06688214610343014,0.0,0.0,0.0
Assam,Majuli,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011568990408667934,0.022304446085053015,0.0011313207716493541,0.0,0.0,0.0,0.0,0.0,0.0005081156190425046,0.00746907836383325,0.010321681047731141,0.0,0.0015745076179858788,0.0,0.00022746432424936328,0.0024844746848108864,0.06561976749748841,0.0,0.0,0.0
Assam,Marigaon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570905816263811,0.04241077041617368,0.0024703131660507613,0.0,0.0,0.0,0.0,0.0,0.0,0.030951836796883077,0.012910047753630251,0.0,0.006979702712746191,0.0,0.0,0.006489389633780269,0.0038964682103047417,0.008938143201226188,0.0,0.0
Assam,Nagaon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018170535599422517,0.026840058932952483,0.006892377414609287,0.00017477513055367324,0.0,0.0,0.0,0.0,0.0005563186370593132,0.012016912352873959,0.02188000869610849,5.703666895484771e-05,0.017370196952805648,0.0,0.00017366133489374224,0.017052791675005004,0.007526670812801991,0.024183107072476458,0.0,0.0
Assam,Nalbari,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006044647579296445,0.0366793151139811,0.004133657257689731,0.0,0.0,0.0,0.0,0.0,0.0,0.0016627922795217963,0.013903278282968373,0.0,0.0,0.00015756164431712333,0.0,0.004872835701420853,0.00027968712624982064,0.0,0.0,0.0
